2024/04/01 14:25:11 [INFO] Receive Message:{"Ret":"ActStop","Data":{"SeatId":3}}
2024/04/01 14:25:11 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1774684155095814144","RemainSec":20,"TimeStamp":1711952711159}}
2024/04/01 14:25:14 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Open","Gid":"2001-1774684155095814144","RemainSec":4,"TimeStamp":1711952714152}}
2024/04/01 14:25:14 [INFO] Receive Message:{"Ret":"ActBankerCard","Data":{"bust":false,"cards":[13,31],"point":17,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2024/04/01 14:25:36 [ERROR] read tcp [::1]:57780->[::1]:10001: wsarecv: An existing connection was forcibly closed by the remote host.
2024/04/01 14:26:55 [INFO] 連線中斷
2024/04/01 14:26:56 [INFO] Connect Success
2024/04/01 14:26:59 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"Success.","Data":{"Gold":999994,"IconID":0,"Name":"Test_simon","UserId":88149641,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false,"JackpotInfo":{"coin":false,"coinId":"","coinexpiretime":0,"pool":10000},"JackpotEnable":false,"Language":{"1":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"1001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1002":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1003":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1004":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1005":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1006":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1007":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1008":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"1009":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1010":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"2002":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2003":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2004":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"2005":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2006":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2007":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2008":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2009":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2010":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"2011":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"3001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"3002":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"3003":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"4001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"4002":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"4003":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"9001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0}},"wallet_type":0,"single_wallet_gold":0}}
2024/04/01 14:27:04 [INFO] Receive Message:{"Ret":"DebugMatchType","Data":{"matchtype":0}}
2024/04/01 14:27:04 [INFO] Receive Message:{"Code":0,"Ret":"JoinGame","Message":"Success.","Data":{"Gid":"","BankerCards":[],"BankerCardPoint":0,"BetLimit":[[3,300]],"Chips":[3,15,30,75,150,300],"RemainSec":1,"BetInfo":{},"TableCards":{},"PlayerInfo":[{"seatId":1,"iconId":0,"name":"Test_simon","gold":999994,"IsBetFinish":false,"IsDouble":[false,false],"isSitDown":true,"point":[0,0],"is21Point":[false,false],"isFiveDragon":[false,false],"isBlackJack":[false,false],"bust":[false,false],"isSetInsurance":false,"isInsurance":false,"insuranceGold":0,"parentSeat":1}],"Fsm":"Init","TokenPlayerSeatInfo":{"seatId":-1,"splittime":0},"result":[]}}
