2023/09/18 14:41:18 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":0,"name":"****mon","parentSeat":0},{"seatId":1,"name":"****k91","parentSeat":1},{"seatId":4,"name":"****een","parentSeat":4}]}}
2023/09/18 14:41:18 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":0,"bet":[0,0],"Gold":999985},{"seatId":1,"bet":[0,0],"Gold":135581.2},{"seatId":4,"bet":[213,0],"Gold":197978}]}}
2023/09/18 14:41:18 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":4}}
2023/09/18 14:41:19 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":0,"name":"****mon","parentSeat":0},{"seatId":1,"name":"****k91","parentSeat":1},{"seatId":4,"name":"****een","parentSeat":4}]}}
2023/09/18 14:41:19 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":0,"bet":[0,0],"Gold":999985},{"seatId":1,"bet":[225,0],"Gold":135356.2},{"seatId":4,"bet":[213,0],"Gold":197978}]}}
2023/09/18 14:41:19 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":1}}
2023/09/18 14:41:37 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Deal","Gid":"2001-1703660431748370432","RemainSec":3}}
2023/09/18 14:41:37 [INFO] Receive Message:{"Ret":"ActGold","Data":{"Gold":999982}}
2023/09/18 14:41:37 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":0,"name":"****mon","parentSeat":0},{"seatId":1,"name":"****k91","parentSeat":1},{"seatId":4,"name":"****een","parentSeat":4}]}}
2023/09/18 14:41:37 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":0,"bet":[3,0],"Gold":999982},{"seatId":1,"bet":[225,0],"Gold":135356.2},{"seatId":4,"bet":[213,0],"Gold":197978}]}}
2023/09/18 14:41:37 [INFO] Receive Message:{"Ret":"ActDealCard","Data":{"bankerCards":[31,-1],"playerCards":[[37,32],[14,35],[],[],[34,3]],"point":[17,12,0,0,13]}}
2023/09/18 14:41:40 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703660431748370432","RemainSec":20}}
2023/09/18 14:41:40 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":0}}
2023/09/18 14:42:00 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703660431748370432","RemainSec":20}}
2023/09/18 14:42:00 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":1}}
2023/09/18 14:42:03 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":1,"card":16,"bust":false,"point":16,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:42:04 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":1,"card":6,"bust":true,"point":23,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:42:06 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703660431748370432","RemainSec":20}}
2023/09/18 14:42:06 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":4}}
2023/09/18 14:42:09 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":4,"card":27,"bust":false,"point":15,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:42:10 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":4,"card":26,"bust":false,"point":16,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
